antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
The Big Meat Pizza,The Barbecue Chicken Pizza,0.08482435597189696,0.10646370023419204,0.009180327868852459,0.10822749861954721,1.0165671339759494,1.0,0.00014961306210202474,1.0019778568890887,0.017807660450945353,0.050411522633744855,0.0019739526931557894,0.09722857553062711
The Barbecue Chicken Pizza,The Big Meat Pizza,0.10646370023419204,0.08482435597189696,0.009180327868852459,0.086229652441707,1.0165671339759494,1.0,0.00014961306210202474,1.0015379099065373,0.01823892003727113,0.050411522633744855,0.001535548371484944,0.09722857553062711
The California Chicken Pizza,The Barbecue Chicken Pizza,0.102903981264637,0.10646370023419204,0.011662763466042154,0.1133363677742376,1.0645540923801025,1.0,0.000707224851778928,1.0077511553313554,0.06759539594183142,0.058990760483297794,0.007691537033075052,0.11144161107585615
The Barbecue Chicken Pizza,The California Chicken Pizza,0.10646370023419204,0.102903981264637,0.011662763466042154,0.1095468543774747,1.0645540923801025,1.0,0.000707224851778928,1.0074601040442095,0.06786468619142932,0.058990760483297794,0.007404862995827546,0.11144161107585615
The Chicken Alfredo Pizza,The Barbecue Chicken Pizza,0.045292740046838406,0.10646370023419204,0.005292740046838408,0.11685625646328854,1.0976159593010164,1.0,0.0004707073477066186,1.0117676836926655,0.09315371694006681,0.03613687240166294,0.011630815929716954,0.08328514538958531
The Barbecue Chicken Pizza,The Chicken Alfredo Pizza,0.10646370023419204,0.045292740046838406,0.005292740046838408,0.0497140343158821,1.0976159593010164,1.0,0.0004707073477066186,1.0046525934599706,0.09953096463748923,0.03613687240166294,0.004631047080610455,0.08328514538958531
The Classic Deluxe Pizza,The Barbecue Chicken Pizza,0.10908665105386417,0.10646370023419204,0.011241217798594848,0.10304851867754401,0.9679216338607852,1.0,-0.0003725507187556567,0.9961924567518271,-0.035865285899869905,0.055020632737276476,-0.003822096044159736,0.10431792409900079
The Barbecue Chicken Pizza,The Classic Deluxe Pizza,0.10646370023419204,0.10908665105386417,0.011241217798594848,0.10558732952045755,0.9679216338607851,1.0,-0.0003725507187556567,0.9960875760720939,-0.03576376962098207,0.055020632737276476,-0.003927791111835941,0.10431792409900079
The Barbecue Chicken Pizza,The Five Cheese Pizza,0.10646370023419204,0.06365339578454332,0.007447306791569087,0.06995160580730313,1.0989453892464474,1.0,0.0006705307438750838,1.006771916453043,0.10076442935828102,0.045781744889144826,0.006726366064024904,0.09347469915089218
The Five Cheese Pizza,The Barbecue Chicken Pizza,0.06365339578454332,0.10646370023419204,0.007447306791569087,0.11699779249448125,1.0989453892464474,1.0,0.0006705307438750838,1.0119298594847776,0.09615742178319879,0.045781744889144826,0.01178921579688498,0.09347469915089218
The Barbecue Chicken Pizza,The Four Cheese Pizza,0.10646370023419204,0.08473067915690867,0.009742388758782201,0.09150901891772988,1.0799986478128982,1.0,0.0007216471323815733,1.0074610974703857,0.08289860726368031,0.053691275167785234,0.007405841763140717,0.1032448356059075
The Four Cheese Pizza,The Barbecue Chicken Pizza,0.08473067915690867,0.10646370023419204,0.009742388758782201,0.11498065229408512,1.079998647812898,1.0,0.0007216471323815733,1.0096234642575557,0.08093018426739826,0.053691275167785234,0.009531735937449146,0.1032448356059075
The Barbecue Chicken Pizza,The Greek Pizza,0.10646370023419204,0.06374707259953162,0.006791569086651054,0.06379234491860977,1.0007101866365309,1.0,4.81985860724312e-06,1.0000483571340528,0.0007942404014222134,0.04155918601318429,4.8354795753591484e-05,0.08516582712499188
The Greek Pizza,The Barbecue Chicken Pizza,0.06374707259953162,0.10646370023419204,0.006791569086651054,0.10653930933137398,1.0007101866365309,1.0,4.81985860724312e-06,1.0000846249845927,0.0007580031086063117,0.04155918601318429,8.461782381058735e-05,0.08516582712499188
The Barbecue Chicken Pizza,The Green Garden Pizza,0.10646370023419204,0.045714285714285714,0.005011709601873537,0.04707435107787066,1.0297514298284207,1.0,0.0001447975911676152,1.0014272523413796,0.03233428324659693,0.03405474220241884,0.001425218195373448,0.07835274930942714
The Green Garden Pizza,The Barbecue Chicken Pizza,0.045714285714285714,0.10646370023419204,0.005011709601873537,0.10963114754098362,1.0297514298284207,1.0,0.0001447975911676152,1.0035574552030249,0.03027589680452192,0.03405474220241884,0.0035448445772396225,0.07835274930942714
The Hawaiian Pizza,The Barbecue Chicken Pizza,0.10679156908665105,0.10646370023419204,0.011943793911007026,0.11184210526315791,1.0505186746011532,1.0,0.0005743683122268004,1.0060556856622431,0.053838798235602725,0.05932992089343881,0.00601923506675166,0.11201432143932202
The Barbecue Chicken Pizza,The Hawaiian Pizza,0.10646370023419204,0.10679156908665105,0.011943793911007026,0.11218653761548615,1.0505186746011532,1.0,0.0005743683122268004,1.0060766915094361,0.05381904294977953,0.05932992089343881,0.0060399883634310115,0.11201432143932202
